problem,prover,mode,expected,result,time_s,pass
GRND001,Z3 4.12.2,default,sat,sat-timeout,30.38,PASS
GRND002,Z3 4.12.2,default,unsat,unsat,0.077,PASS
GRND003,Z3 4.12.2,default,unsat,unsat,0.065,PASS
GRND004,Z3 4.12.2,default,unsat,unsat,0.065,PASS
GRND005,Z3 4.12.2,default,unsat,unsat,0.063,PASS
GRND006,Z3 4.12.2,default,unsat,unsat,0.066,PASS
GRND007-open,Z3 4.12.2,default,unsat,unsat,0.112,PASS
GRND007-closed,Z3 4.12.2,default,sat,sat-timeout,30.062,PASS
GRND008-sanctioned,Z3 4.12.2,default,unsat,unsat,0.068,PASS
GRND008-regimented,Z3 4.12.2,default,unsat,unsat,0.065,PASS
GRND009-immunity,Z3 4.12.2,default,unsat,unsat,0.064,PASS
GRND009-no-immunity,Z3 4.12.2,default,unsat,unsat,0.064,PASS
GRND010-strong-perm,Z3 4.12.2,default,unsat,unsat,0.077,PASS
GRND011-obl-relator,Z3 4.12.2,default,unsat,unsat,0.063,PASS
GRND012-corr-duty,Z3 4.12.2,default,unsat,unsat,0.342,PASS
GRND013-corr-power,Z3 4.12.2,default,unsat,unsat,0.073,PASS
GRND014-corr-immunity,Z3 4.12.2,default,unsat,unsat,0.068,PASS
GRND015-unique-founding,Z3 4.12.2,default,unsat,unsat,0.067,PASS
GRND016-conflict-relator,Z3 4.12.2,default,unsat,unsat,0.066,PASS
GRND017-violation-chain,Z3 4.12.2,default,unsat,unsat,0.066,PASS
GRND018-about-event,Z3 4.12.2,default,unsat,unsat,0.066,PASS
GRND019-two-policy-conflict,Z3 4.12.2,default,unsat,unsat,0.068,PASS
GRND020-strong-perm-full-h2,Z3 4.12.2,default,unsat,unsat,0.078,PASS
GRND021-remedy-chain,Z3 4.12.2,default,unsat,unsat,0.066,PASS
GRND022-corr-nonunique,Z3 4.12.2,default,unsat,unsat,0.075,PASS
GRND023-policy-issuance,Z3 4.12.2,default,unsat,unsat,0.068,PASS
GRND024-obl-proh-coexist,Z3 4.12.2,default,sat,sat-timeout,30.248,PASS
GRND025-unique-founding-rem,Z3 4.12.2,default,unsat,unsat,0.068,PASS
GRND026-unique-founding-imm,Z3 4.12.2,default,unsat,unsat,0.065,PASS
GRND027-unique-event-rem,Z3 4.12.2,default,unsat,unsat,0.065,PASS
GRND028-unique-event-imm,Z3 4.12.2,default,unsat,unsat,0.065,PASS
GRND029-b2-power-about-event,Z3 4.12.2,default,unsat,unsat,0.063,PASS
GRND030-b3-subjection-about-event,Z3 4.12.2,default,unsat,unsat,0.064,PASS
GRND031-odrl-rel-is-legal-rel,Z3 4.12.2,default,unsat,unsat,0.065,PASS
GRND032-odrl-rel-typing-rem,Z3 4.12.2,default,unsat,unsat,0.065,PASS
GRND033-odrl-rel-typing-imm,Z3 4.12.2,default,unsat,unsat,0.064,PASS
GRND034-disability-exists,Z3 4.12.2,default,unsat,unsat,0.078,PASS
GRND002,E 3.2.5,auto-schedule,Theorem,Theorem,0.072,PASS
GRND003,E 3.2.5,auto-schedule,Theorem,Theorem,0.062,PASS
GRND004,E 3.2.5,auto-schedule,Theorem,Theorem,0.06,PASS
GRND005,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.057,PASS
GRND006,E 3.2.5,auto-schedule,Theorem,Theorem,0.135,PASS
GRND007-open,E 3.2.5,auto-schedule,Theorem,Theorem,0.061,PASS
GRND008-sanctioned,E 3.2.5,auto-schedule,Theorem,Theorem,0.059,PASS
GRND008-regimented,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.058,PASS
GRND009-immunity,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.06,PASS
GRND009-no-immunity,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.061,PASS
GRND010-strong-perm,E 3.2.5,auto-schedule,Theorem,Theorem,0.061,PASS
GRND011-obl-relator,E 3.2.5,auto-schedule,Theorem,Theorem,0.061,PASS
GRND012-corr-duty,E 3.2.5,auto-schedule,Theorem,Theorem,0.118,PASS
GRND013-corr-power,E 3.2.5,auto-schedule,Theorem,Theorem,0.109,PASS
GRND014-corr-immunity,E 3.2.5,auto-schedule,Theorem,Theorem,0.112,PASS
GRND015-unique-founding,E 3.2.5,auto-schedule,Theorem,Theorem,0.06,PASS
GRND016-conflict-relator,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.059,PASS
GRND017-violation-chain,E 3.2.5,auto-schedule,Theorem,Theorem,0.06,PASS
GRND018-about-event,E 3.2.5,auto-schedule,Theorem,Theorem,0.06,PASS
GRND019-two-policy-conflict,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.058,PASS
GRND020-strong-perm-full-h2,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.06,PASS
GRND021-remedy-chain,E 3.2.5,auto-schedule,Theorem,Theorem,0.061,PASS
GRND022-corr-nonunique,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.066,PASS
GRND023-policy-issuance,E 3.2.5,auto-schedule,Theorem,Theorem,0.058,PASS
GRND025-unique-founding-rem,E 3.2.5,auto-schedule,Theorem,Theorem,0.059,PASS
GRND026-unique-founding-imm,E 3.2.5,auto-schedule,Theorem,Theorem,0.059,PASS
GRND027-unique-event-rem,E 3.2.5,auto-schedule,Theorem,Theorem,0.059,PASS
GRND028-unique-event-imm,E 3.2.5,auto-schedule,Theorem,Theorem,0.058,PASS
GRND029-b2-power-about-event,E 3.2.5,auto-schedule,Theorem,Theorem,0.056,PASS
GRND030-b3-subjection-about-event,E 3.2.5,auto-schedule,Theorem,Theorem,0.059,PASS
GRND031-odrl-rel-is-legal-rel,E 3.2.5,auto-schedule,Theorem,Theorem,0.057,PASS
GRND032-odrl-rel-typing-rem,E 3.2.5,auto-schedule,Theorem,Theorem,0.059,PASS
GRND033-odrl-rel-typing-imm,E 3.2.5,auto-schedule,Theorem,Theorem,0.06,PASS
GRND034-disability-exists,E 3.2.5,auto-schedule,Theorem,Theorem,0.06,PASS
