problem,prover,mode,expected,result,time_s,pass
GRND001,Vampire 5.0,portfolio,Satisfiable,Satisfiable,0.09,PASS
GRND002,Vampire 5.0,casc,Theorem,Theorem,0.07,PASS
GRND003,Vampire 5.0,casc,Theorem,Theorem,0.072,PASS
GRND004,Vampire 5.0,casc,Theorem,Theorem,0.069,PASS
GRND005,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.066,PASS
GRND006,Vampire 5.0,casc,Theorem,Theorem,0.096,PASS
GRND007-open,Vampire 5.0,casc,Theorem,Theorem,0.069,PASS
GRND007-closed,Vampire 5.0,portfolio,Satisfiable,Satisfiable,0.068,PASS
GRND008-sanctioned,Vampire 5.0,casc,Theorem,Theorem,0.073,PASS
GRND008-regimented,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.067,PASS
GRND009-immunity,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.07,PASS
GRND009-no-immunity,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.071,PASS
GRND010-strong-perm,Vampire 5.0,casc,Theorem,Theorem,0.071,PASS
GRND011-obl-relator,Vampire 5.0,casc,Theorem,Theorem,0.069,PASS
GRND012-corr-duty,Vampire 5.0,casc,Theorem,Theorem,0.094,PASS
GRND013-corr-power,Vampire 5.0,casc,Theorem,Theorem,0.095,PASS
GRND014-corr-immunity,Vampire 5.0,casc,Theorem,Theorem,0.095,PASS
GRND015-unique-founding,Vampire 5.0,casc,Theorem,Theorem,0.069,PASS
GRND016-conflict-relator,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.069,PASS
GRND017-violation-chain,Vampire 5.0,casc,Theorem,Theorem,0.071,PASS
GRND018-about-event,Vampire 5.0,casc,Theorem,Theorem,0.072,PASS
GRND019-two-policy-conflict,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.07,PASS
GRND020-strong-perm-full-h2,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.076,PASS
GRND021-remedy-chain,Vampire 5.0,casc,Theorem,Theorem,0.076,PASS
GRND022-corr-nonunique,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.072,PASS
GRND023-policy-issuance,Vampire 5.0,casc,Theorem,Theorem,0.066,PASS
GRND024-obl-proh-coexist,Vampire 5.0,portfolio,Satisfiable,Satisfiable,0.066,PASS
GRND025-unique-founding-rem,Vampire 5.0,casc,Theorem,Theorem,0.068,PASS
GRND026-unique-founding-imm,Vampire 5.0,casc,Theorem,Theorem,0.066,PASS
GRND027-unique-event-rem,Vampire 5.0,casc,Theorem,Theorem,0.065,PASS
GRND028-unique-event-imm,Vampire 5.0,casc,Theorem,Theorem,0.067,PASS
GRND029-b2-power-about-event,Vampire 5.0,casc,Theorem,Theorem,0.067,PASS
GRND030-b3-subjection-about-event,Vampire 5.0,casc,Theorem,Theorem,0.066,PASS
